Date,Open,High,Low,Close,AdjustedClose,Volume,Dividend,Split
2014-05-29,129.9118,130.3174,128.9655,130.2273,111.4898,426410,0.0,1.0
2014-05-30,130.2723,131.8495,129.6865,131.534,112.6086,2107916,0.0,1.0
2014-06-02,131.6692,131.8945,129.7766,130.4075,111.6441,581455,0.0,1.0
2014-06-03,130.5877,131.1735,130.2723,130.7229,111.9142,502271,0.0,1.0
2014-06-04,130.7229,131.3988,129.9569,130.9032,112.0685,527154,0.0,1.0
2014-06-05,130.6779,131.5791,129.6415,131.3538,112.4543,898515,0.0,1.0
2014-06-06,131.0384,131.0384,128.605,129.1007,110.5254,969312,0.0,1.0
2014-06-09,129.6865,129.7316,128.7402,129.281,110.6797,357194,0.0,1.0
2014-06-10,129.6865,130.3174,128.7853,130.3174,111.567,548792,0.0,1.0
2014-06-11,130.4976,131.3538,129.7766,130.5877,111.7984,696390,0.0,1.0
2014-06-12,130.3174,130.6328,129.8217,130.4526,111.6827,448419,0.0,1.0
2014-06-13,130.3174,130.6779,129.2359,130.1371,111.4127,482782,0.0,1.0
2014-06-16,129.9569,130.4976,129.2359,130.0921,111.3741,500173,0.0,1.0
2014-06-17,130.2723,131.2186,130.2273,131.0384,112.1842,659838,0.0,1.0
2014-06-18,130.9482,131.534,130.5427,130.5427,111.7599,463891,0.0,1.0
2014-06-19,129.7766,131.8495,129.5964,131.3087,112.4157,846158,0.0,1.0
2014-06-20,131.3087,132.6606,131.0384,131.3087,112.4157,933178,0.0,1.0
2014-06-23,131.9846,131.9846,130.1371,131.1285,112.2614,443618,0.0,1.0
2014-06-24,131.1285,131.8495,130.813,131.4439,112.5314,474507,0.0,1.0
2014-06-25,131.0834,132.0297,129.5063,129.5063,110.8726,771669,0.0,1.0
2014-06-26,129.8668,129.8668,126.2168,127.2983,108.9823,1067168,0.0,1.0
2014-06-27,127.5236,127.8841,125.7662,126.4872,108.2879,711407,0.0,1.0
2014-06-30,127.0279,128.2896,126.6223,126.8927,108.6351,648871,0.0,1.0
2014-07-01,126.6223,127.2983,126.2168,127.073,108.7894,445701,0.0,1.0
2014-07-02,127.3433,127.4334,125.6761,126.1267,107.9792,582004,0.0,1.0
2014-07-03,126.1717,127.839,125.4507,127.839,109.4452,719810,0.0,1.0
2014-07-04,127.9742,127.9742,126.7575,126.9378,108.6736,421224,0.0,1.0
